,Route,RSP,REP,DepTime
0,A1,North,South,2023-03-24 10:00:00.000000
0,A1,North,South,2023-03-24 10:10:00.000000
0,A1,North,South,2023-03-24 10:20:00.000000
0,A1,North,South,2023-03-24 10:30:00.000000
0,A1,North,South,2023-03-24 10:40:00.000000
0,A1,North,South,2023-03-24 10:50:00.000000
0,A1,North,South,2023-03-24 11:00:00.000000
0,A1,North,South,2023-03-24 11:10:00.000000
0,A1,North,South,2023-03-24 11:20:00.000000
0,A1,North,South,2023-03-24 11:30:00.000000
0,A1,North,South,2023-03-24 11:40:00.000000
0,A1,North,South,2023-03-24 11:50:00.000000
0,A1,North,South,2023-03-24 12:00:00.000000
0,A1,North,South,2023-03-24 12:00:00.000000
0,A1,North,South,2023-03-24 12:10:00.000000
0,A1,North,South,2023-03-24 12:20:00.000000
0,A1,North,South,2023-03-24 12:30:00.000000
0,A1,North,South,2023-03-24 12:40:00.000000
0,A1,North,South,2023-03-24 12:50:00.000000
0,A1,North,South,2023-03-24 13:00:00.000000
0,A1,North,South,2023-03-24 13:10:00.000000
0,A1,North,South,2023-03-24 13:20:00.000000
0,A1,North,South,2023-03-24 13:30:00.000000
0,A1,North,South,2023-03-24 13:40:00.000000
0,A1,North,South,2023-03-24 13:50:00.000000
0,A1,North,South,2023-03-24 14:00:00.000000
0,A1,North,South,2023-03-24 14:00:00.000000
0,A1,North,South,2023-03-24 14:05:00.000000
0,A1,North,South,2023-03-24 14:10:00.000000
0,A1,North,South,2023-03-24 14:15:00.000000
0,A1,North,South,2023-03-24 14:20:00.000000
0,A1,North,South,2023-03-24 14:25:00.000000
0,A1,North,South,2023-03-24 14:30:00.000000
0,A1,North,South,2023-03-24 14:35:00.000000
0,A1,North,South,2023-03-24 14:40:00.000000
0,A1,North,South,2023-03-24 14:45:00.000000
0,A1,North,South,2023-03-24 14:50:00.000000
0,A1,North,South,2023-03-24 14:55:00.000000
0,A1,North,South,2023-03-24 15:00:00.000000
0,A1,North,South,2023-03-24 15:05:00.000000
0,A1,North,South,2023-03-24 15:10:00.000000
0,A1,North,South,2023-03-24 15:15:00.000000
0,A1,North,South,2023-03-24 15:20:00.000000
0,A1,North,South,2023-03-24 15:25:00.000000
0,A1,North,South,2023-03-24 15:30:00.000000
0,A1,North,South,2023-03-24 15:35:00.000000
0,A1,North,South,2023-03-24 15:40:00.000000
0,A1,North,South,2023-03-24 15:45:00.000000
0,A1,North,South,2023-03-24 15:50:00.000000
0,A1,North,South,2023-03-24 15:55:00.000000
0,A1,North,South,2023-03-24 16:00:00.000000
0,A1,North,South,2023-03-24 16:05:00.000000
0,A1,North,South,2023-03-24 16:10:00.000000
0,A1,North,South,2023-03-24 16:15:00.000000
0,A1,North,South,2023-03-24 16:20:00.000000
0,A1,North,South,2023-03-24 16:25:00.000000
0,A1,North,South,2023-03-24 16:30:00.000000
0,A1,North,South,2023-03-24 16:35:00.000000
0,A1,North,South,2023-03-24 16:40:00.000000
0,A1,North,South,2023-03-24 16:45:00.000000
0,A1,North,South,2023-03-24 16:50:00.000000
0,A1,North,South,2023-03-24 16:55:00.000000
0,A1,North,South,2023-03-24 17:00:00.000000
0,A1,North,South,2023-03-24 17:05:00.000000
0,A1,North,South,2023-03-24 17:10:00.000000
0,A1,North,South,2023-03-24 17:15:00.000000
0,A1,North,South,2023-03-24 17:20:00.000000
0,A1,North,South,2023-03-24 17:25:00.000000
0,A1,North,South,2023-03-24 17:30:00.000000
0,A1,North,South,2023-03-24 17:35:00.000000
0,A1,North,South,2023-03-24 17:40:00.000000
0,A1,North,South,2023-03-24 17:45:00.000000
0,A1,North,South,2023-03-24 17:50:00.000000
0,A1,North,South,2023-03-24 17:55:00.000000
0,A1,North,South,2023-03-24 18:00:00.000000
0,A1,North,South,2023-03-24 18:05:00.000000
0,A1,North,South,2023-03-24 18:10:00.000000
0,A1,North,South,2023-03-24 18:15:00.000000
0,A1,North,South,2023-03-24 18:20:00.000000
0,A1,North,South,2023-03-24 18:25:00.000000
0,A1,North,South,2023-03-24 18:30:00.000000
0,A1,North,South,2023-03-24 18:35:00.000000
0,A1,North,South,2023-03-24 18:40:00.000000
0,A1,North,South,2023-03-24 18:45:00.000000
0,A1,North,South,2023-03-24 18:50:00.000000
0,A1,North,South,2023-03-24 18:55:00.000000
0,A1,North,South,2023-03-24 19:00:00.000000
0,A1,North,South,2023-03-24 19:00:00.000000
0,A1,North,South,2023-03-24 19:10:00.000000
0,A1,North,South,2023-03-24 19:20:00.000000
0,A1,North,South,2023-03-24 19:30:00.000000
0,A1,North,South,2023-03-24 19:40:00.000000
0,A1,North,South,2023-03-24 19:50:00.000000
0,A1,North,South,2023-03-24 20:00:00.000000
0,A1,North,South,2023-03-24 20:10:00.000000
0,A1,North,South,2023-03-24 20:20:00.000000
0,A1,North,South,2023-03-24 20:30:00.000000
0,A1,North,South,2023-03-24 20:40:00.000000
0,A1,North,South,2023-03-24 20:50:00.000000
0,A1,North,South,2023-03-24 21:00:00.000000
0,A1,North,South,2023-03-24 21:10:00.000000
0,A1,North,South,2023-03-24 21:20:00.000000
0,A1,North,South,2023-03-24 21:30:00.000000
0,A1,North,South,2023-03-24 21:40:00.000000
0,A1,North,South,2023-03-24 21:50:00.000000
0,A1,North,South,2023-03-24 22:00:00.000000
0,A1,South,North,2023-03-24 05:00:00.000000
0,A1,South,North,2023-03-24 05:08:34.285714
0,A1,South,North,2023-03-24 05:17:08.571428
0,A1,South,North,2023-03-24 05:25:42.857142
0,A1,South,North,2023-03-24 05:34:17.142856
0,A1,South,North,2023-03-24 05:42:51.428570
0,A1,South,North,2023-03-24 05:45:00.000000
0,A1,South,North,2023-03-24 05:50:00.000000
0,A1,South,North,2023-03-24 05:55:00.000000
0,A1,South,North,2023-03-24 06:00:00.000000
0,A1,South,North,2023-03-24 06:05:00.000000
0,A1,South,North,2023-03-24 06:10:00.000000
0,A1,South,North,2023-03-24 06:15:00.000000
0,A1,South,North,2023-03-24 06:20:00.000000
0,A1,South,North,2023-03-24 06:25:00.000000
0,A1,South,North,2023-03-24 06:30:00.000000
0,A1,South,North,2023-03-24 06:35:00.000000
0,A1,South,North,2023-03-24 06:40:00.000000
0,A1,South,North,2023-03-24 06:45:00.000000
0,A1,South,North,2023-03-24 06:50:00.000000
0,A1,South,North,2023-03-24 06:55:00.000000
0,A1,South,North,2023-03-24 07:00:00.000000
0,A1,South,North,2023-03-24 07:05:00.000000
0,A1,South,North,2023-03-24 07:10:00.000000
0,A1,South,North,2023-03-24 07:15:00.000000
0,A1,South,North,2023-03-24 07:20:00.000000
0,A1,South,North,2023-03-24 07:25:00.000000
0,A1,South,North,2023-03-24 07:30:00.000000
0,A1,South,North,2023-03-24 07:35:00.000000
0,A1,South,North,2023-03-24 07:40:00.000000
0,A1,South,North,2023-03-24 07:45:00.000000
0,A1,South,North,2023-03-24 07:50:00.000000
0,A1,South,North,2023-03-24 07:55:00.000000
0,A1,South,North,2023-03-24 08:00:00.000000
0,A1,South,North,2023-03-24 08:00:00.000000
0,A1,South,North,2023-03-24 08:10:00.000000
0,A1,South,North,2023-03-24 08:20:00.000000
0,A1,South,North,2023-03-24 08:30:00.000000
0,A1,South,North,2023-03-24 08:40:00.000000
0,A1,South,North,2023-03-24 08:50:00.000000
0,A1,South,North,2023-03-24 09:00:00.000000
0,A1,South,North,2023-03-24 09:10:00.000000
0,A1,South,North,2023-03-24 09:20:00.000000
0,A1,South,North,2023-03-24 09:30:00.000000
0,A1,South,North,2023-03-24 09:40:00.000000
0,A1,South,North,2023-03-24 09:50:00.000000
0,A1,South,North,2023-03-24 10:00:00.000000
0,A1,South,North,2023-03-24 10:10:00.000000
0,A1,South,North,2023-03-24 10:20:00.000000
0,A1,South,North,2023-03-24 10:30:00.000000
0,A1,South,North,2023-03-24 10:40:00.000000
0,A1,South,North,2023-03-24 10:50:00.000000
0,A1,South,North,2023-03-24 11:00:00.000000
0,A1,South,North,2023-03-24 11:10:00.000000
0,A1,South,North,2023-03-24 11:20:00.000000
0,A1,South,North,2023-03-24 11:30:00.000000
0,A1,South,North,2023-03-24 11:40:00.000000
0,A1,South,North,2023-03-24 11:50:00.000000
0,A1,South,North,2023-03-24 12:00:00.000000
0,A1,South,North,2023-03-24 12:00:00.000000
0,A1,South,North,2023-03-24 12:10:00.000000
0,A1,South,North,2023-03-24 12:20:00.000000
0,A1,South,North,2023-03-24 12:30:00.000000
0,A1,South,North,2023-03-24 12:40:00.000000
0,A1,South,North,2023-03-24 12:50:00.000000
0,A1,South,North,2023-03-24 13:00:00.000000
0,A1,South,North,2023-03-24 13:10:00.000000
0,A1,South,North,2023-03-24 13:20:00.000000
0,A1,South,North,2023-03-24 13:30:00.000000
0,A1,South,North,2023-03-24 13:40:00.000000
0,A1,South,North,2023-03-24 13:50:00.000000
0,A1,South,North,2023-03-24 14:00:00.000000
0,A1,South,North,2023-03-24 14:00:00.000000
0,A1,South,North,2023-03-24 14:05:00.000000
0,A1,South,North,2023-03-24 14:10:00.000000
0,A1,South,North,2023-03-24 14:15:00.000000
0,A1,South,North,2023-03-24 14:20:00.000000
0,A1,South,North,2023-03-24 14:25:00.000000
0,A1,South,North,2023-03-24 14:30:00.000000
0,A1,South,North,2023-03-24 14:35:00.000000
0,A1,South,North,2023-03-24 14:40:00.000000
0,A1,South,North,2023-03-24 14:45:00.000000
0,A1,South,North,2023-03-24 14:50:00.000000
0,A1,South,North,2023-03-24 14:55:00.000000
0,A1,South,North,2023-03-24 15:00:00.000000
0,A1,South,North,2023-03-24 15:05:00.000000
0,A1,South,North,2023-03-24 15:10:00.000000
0,A1,South,North,2023-03-24 15:15:00.000000
0,A1,South,North,2023-03-24 15:20:00.000000
0,A1,South,North,2023-03-24 15:25:00.000000
0,A1,South,North,2023-03-24 15:30:00.000000
0,A1,South,North,2023-03-24 15:35:00.000000
0,A1,South,North,2023-03-24 15:40:00.000000
0,A1,South,North,2023-03-24 15:45:00.000000
0,A1,South,North,2023-03-24 15:50:00.000000
0,A1,South,North,2023-03-24 15:55:00.000000
0,A1,South,North,2023-03-24 16:00:00.000000
0,A1,South,North,2023-03-24 16:05:00.000000
0,A1,South,North,2023-03-24 16:10:00.000000
0,A1,South,North,2023-03-24 16:15:00.000000
0,A1,South,North,2023-03-24 16:20:00.000000
0,A1,South,North,2023-03-24 16:25:00.000000
0,A1,South,North,2023-03-24 16:30:00.000000
0,A1,South,North,2023-03-24 16:35:00.000000
0,A1,South,North,2023-03-24 16:40:00.000000
0,A1,South,North,2023-03-24 16:45:00.000000
0,A1,South,North,2023-03-24 16:50:00.000000
0,A1,South,North,2023-03-24 16:55:00.000000
0,A1,South,North,2023-03-24 17:00:00.000000
0,A1,South,North,2023-03-24 17:05:00.000000
0,A1,South,North,2023-03-24 17:10:00.000000
0,A1,South,North,2023-03-24 17:15:00.000000
0,A1,South,North,2023-03-24 17:20:00.000000
0,A1,South,North,2023-03-24 17:25:00.000000
0,A1,South,North,2023-03-24 17:30:00.000000
0,A1,South,North,2023-03-24 17:35:00.000000
0,A1,South,North,2023-03-24 17:40:00.000000
0,A1,South,North,2023-03-24 17:45:00.000000
0,A1,South,North,2023-03-24 17:50:00.000000
0,A1,South,North,2023-03-24 17:55:00.000000
0,A1,South,North,2023-03-24 18:00:00.000000
0,A1,South,North,2023-03-24 18:05:00.000000
0,A1,South,North,2023-03-24 18:10:00.000000
0,A1,South,North,2023-03-24 18:15:00.000000
0,A1,South,North,2023-03-24 18:20:00.000000
0,A1,South,North,2023-03-24 18:25:00.000000
0,A1,South,North,2023-03-24 18:30:00.000000
0,A1,South,North,2023-03-24 18:35:00.000000
0,A1,South,North,2023-03-24 18:40:00.000000
0,A1,South,North,2023-03-24 18:45:00.000000
0,A1,South,North,2023-03-24 18:50:00.000000
0,A1,South,North,2023-03-24 18:55:00.000000
0,A1,South,North,2023-03-24 19:00:00.000000
0,A1,South,North,2023-03-24 19:00:00.000000
0,A1,South,North,2023-03-24 19:10:00.000000
0,A1,South,North,2023-03-24 19:20:00.000000
0,A1,South,North,2023-03-24 19:30:00.000000
0,A1,South,North,2023-03-24 19:40:00.000000
0,A1,South,North,2023-03-24 19:50:00.000000
0,A1,South,North,2023-03-24 20:00:00.000000
0,A1,South,North,2023-03-24 20:10:00.000000
0,A1,South,North,2023-03-24 20:20:00.000000
0,A1,South,North,2023-03-24 20:30:00.000000
0,A1,South,North,2023-03-24 20:40:00.000000
0,A1,South,North,2023-03-24 20:50:00.000000
0,A1,South,North,2023-03-24 21:00:00.000000
0,A1,South,North,2023-03-24 21:10:00.000000
0,A1,South,North,2023-03-24 21:20:00.000000
0,A1,South,North,2023-03-24 21:30:00.000000
0,A1,South,North,2023-03-24 21:40:00.000000
0,A1,South,North,2023-03-24 21:50:00.000000
0,A1,South,North,2023-03-24 22:00:00.000000
